id,loan_status
58645,0.9967854
58646,0.025056504
58647,0.5369435
58648,0.0061564576
58649,0.05834372
58650,0.95600134
58651,0.002105049
58652,0.004534448
58653,0.67552155
58654,0.014280128
58655,0.071809284
58656,0.083963744
58657,0.018839533
58658,0.0019018387
58659,0.010586779
58660,0.20030583
58661,0.0069292346
58662,0.0020691915
58663,0.042073436
58664,0.0035401478
58665,0.018906128
58666,0.00521769
58667,0.0014998576
58668,0.0048728273
58669,0.002955159
58670,0.0006029742
58671,0.119235955
58672,0.0013325327
58673,0.89326257
58674,0.00021229828
58675,0.01081725
58676,0.045225885
58677,0.016142987
58678,0.0037674874
58679,0.3882641
58680,0.96930873
58681,0.042413995
58682,0.00037758646
58683,0.009126348
58684,0.18609607
58685,0.11559083
58686,0.0271966
58687,0.408967
58688,0.07982888
58689,0.18389535
58690,0.0002993611
58691,0.015183137
58692,0.009763137
58693,0.009189716
58694,0.1224209
58695,0.968115
58696,0.008829706
58697,0.022233687
58698,0.008413344
58699,0.0070498125
58700,0.01905401
58701,0.005264439
58702,0.016224723
58703,0.13390249
58704,0.467517
58705,0.045072388
58706,0.011901478
58707,0.01979175
58708,0.040497914
58709,0.94526565
58710,0.116005816
58711,0.9759552
58712,0.072151415
58713,0.0005341056
58714,0.028077262
58715,0.003511118
58716,0.13055201
58717,0.032094337
58718,0.059146333
58719,0.00079806696
58720,0.0005148001
58721,0.06765128
58722,0.24204713
58723,0.0051692193
58724,0.020496437
58725,0.015369909
58726,0.019201724
58727,0.22658451
58728,0.11819799
58729,0.010476399
58730,0.0037603425
58731,0.006397611
58732,0.26012328
58733,0.00032011143
58734,0.029533003
58735,0.018894894
58736,0.10929703
58737,0.038181506
58738,0.9976961
58739,0.3976482
58740,0.9630903
58741,0.06975723
58742,0.0015047623
58743,0.009198499
58744,0.02405455
58745,0.0040225144
58746,0.027357107
58747,0.0034611695
58748,0.011943293
58749,0.019124398
58750,0.005850826
58751,0.052355904
58752,0.92592525
58753,0.0016816148
58754,0.07606149
58755,0.14956342
58756,0.003715536
58757,0.029376637
58758,0.007512768
58759,0.004511009
58760,0.0024575093
58761,0.009230762
58762,0.0032809037
58763,0.9737177
58764,0.0013260362
58765,0.016602011
